symbol,companyName,next_day_prediction_as_of_date,next_day_predicted_direction,next_day_predicted_low,next_day_predicted_high,next_day_predicted_range,2026-06-05_prediction_date,2026-06-05_predicted_direction,2026-06-05_actual_direction,2026-06-05_direction_result,2026-06-05_direction_accuracy_pct,2026-06-05_predicted_close,2026-06-05_actual_close,2026-06-05_predicted_low,2026-06-05_actual_low,2026-06-05_predicted_high,2026-06-05_actual_high,2026-06-05_predicted_range,2026-06-05_actual_range,2026-06-05_low_accuracy_pct,2026-06-05_high_accuracy_pct,2026-06-05_range_accuracy_pct
AAPL,Apple Inc.,2026-06-05,Down,302.4519897460938,312.2280029296875,9.776013183593705,2026-06-04,Up,Down,Wrong predicted Up,0.0,311.2300109863281,307.3399963378906,307.8940063476563,307.1499938964844,314.18800659179686,315.1700134277344,6.294000244140591,8.02001953125,99.75776901645564,99.68841996570124,99.72309449107844
BNY,BNY Mellon,2026-06-05,Down,140.33800048828124,144.44199829101564,4.103997802734398,2026-06-04,Up,Down,Wrong predicted Up,0.0,144.02000427246094,142.38999938964844,141.77000427246094,142.08999633789062,145.3780059814453,144.83999633789062,3.608001708984375,2.75,99.77479620404188,99.62854898014524,99.70167259209356
D,Dominion Energy,2026-06-05,Down,65.5720001220703,68.2280029296875,2.656002807617199,2026-06-04,Up,Up,Correct predicted Up,100.0,66.5,66.9000015258789,65.89002073245675,66.19999694824219,67.42801599718109,67.5199966430664,1.5379952647243442,1.3199996948242188,99.5317579606117,99.86377273332587,99.6977653469688
BAC,Bank of America,2026-06-05,Down,53.239010620117185,54.42099304199219,1.1819824218750057,2026-06-04,Up,Down,Wrong predicted Up,0.0,53.88999938964844,53.83000183105469,53.05832053345714,53.31999969482422,54.21431454135044,54.279998779296875,1.1559940078932982,0.9599990844726562,99.50922887684773,99.8789899789543,99.69410942790101
PLD,Prologis,2026-06-05,Down,142.54599609375,146.53399047851562,3.9879943847656136,2026-06-04,Up,Up,Correct predicted Up,100.0,143.7899932861328,144.5399932861328,142.0919921875,142.5500030517578,145.2939880371094,145.72000122070312,3.201995849609375,3.1699981689453125,99.67870161034546,99.70764947843466,99.69317554439006
MDT,Medtronic,2026-06-05,Down,79.90199584960938,83.43800048828125,3.5360046386718693,2026-06-04,Up,Down,Wrong predicted Up,0.0,81.93000030517578,81.66999816894531,81.38199920654297,81.11000061035156,82.91400146484375,82.68000030517578,1.5320022583007784,1.5699996948242188,99.66465467372133,99.71697973052218,99.69081720212176
WAB,Wabtec,2026-06-05,Down,256.8479919433594,263.9519958496094,7.10400390625,2026-06-04,Up,Down,Wrong predicted Up,0.0,262.5199890136719,260.3999938964844,258.6079833984375,259.70001220703125,264.99998168945314,264.2799987792969,6.391998291015625,4.579986572265625,99.57950375153499,99.72756814231805,99.65353594692652
DAL,Delta Air Lines,2026-06-05,Down,78.51599578857422,80.32400054931641,1.8080047607421932,2026-06-04,Up,Down,Wrong predicted Up,0.0,79.51000213623047,79.41999816894531,78.50400238037109,78.54000091552734,80.57000274658203,80.05000305175781,2.066000366210943,1.5100021362304688,99.95416534920216,99.35040640224835,99.65228587572525
AMT,American Tower,2026-06-05,Down,190.57200012207034,197.66799011230466,7.0959899902343295,2026-06-04,Up,Up,Correct predicted Up,100.0,193.91000366210935,194.1199951171875,191.63400268554682,193.02000427246097,196.0740020751953,196.0800018310547,4.439999389648477,3.0599975585937216,99.28193888911238,99.9969401490191,99.63943951906575
ADSK,Autodesk,2026-06-05,Down,221.3340087890625,238.58600463867188,17.251995849609386,,,,,,,,,,,,,,,,
CME,CME Group,2026-06-05,Down,251.4239929199219,263.37599487304686,11.952001953124977,,,,,,,,,,,,,,,,
CRM,Salesforce,2026-06-05,Down,177.1720031738281,194.1480041503906,16.97600097656249,,,,,,,,,,,,,,,,
DDOG,Datadog,2026-06-05,Down,219.406005859375,248.81399536132812,29.407989501953125,,,,,,,,,,,,,,,,
DIS,Walt Disney Company (The),2026-06-05,Down,98.72999877929688,100.68999938964843,1.9600006103515568,,,,,,,,,,,,,,,,
IDXX,Idexx Laboratories,2026-06-05,Down,555.0139892578125,569.30595703125,14.291967773437591,,,,,,,,,,,,,,,,
INTU,Intuit,2026-06-05,Down,280.91400756835935,312.60601196289065,31.692004394531295,,,,,,,,,,,,,,,,
KMI,Kinder Morgan,2026-06-05,Down,31.432000350952148,31.928000259399415,0.49599990844726705,,,,,,,,,,,,,,,,
MSCI,MSCI Inc.,2026-06-05,Down,605.180029296875,625.7400146484375,20.559985351562545,,,,,,,,,,,,,,,,
MSI,Motorola Solutions,2026-06-05,Down,405.9639953613281,414.71599731445315,8.752001953125045,,,,,,,,,,,,,,,,
PANW,Palo Alto Networks,2026-06-05,Down,262.6059814453125,281.493994140625,18.888012695312455,,,,,,,,,,,,,,,,
TDG,TransDigm Group,2026-06-05,Down,1220.5280029296875,1256.9519775390625,36.42397460937491,,,,,,,,,,,,,,,,
UPS,United Parcel Service,2026-06-05,Down,107.35800170898438,109.72200012207031,2.3639984130859375,,,,,,,,,,,,,,,,
USB,U.S. Bancorp,2026-06-05,Down,54.417999267578125,56.961997985839844,2.5439987182617188,,,,,,,,,,,,,,,,
