date,number_of_predictions,correct_predictions,direction_accuracy,average_direction_score_pct,high_success_rate,low_success_rate,high_low_within_2pct_rate,average_high_miss_pct,average_low_miss_pct,average_high_accuracy_pct,average_low_accuracy_pct,average_range_accuracy_pct,average_combined_accuracy_pct,average_plain_overall_accuracy_pct,average_probability_up,average_confidence
2026-04-24,250,131,0.524,52.4,0.88,0.852,0.796,1.024571870369925,1.141613072922653,98.97542812963007,98.85838692707735,98.9169075283537,83.41127168556913,51.82744095576928,0.48370292431156275,0.05904886555403852
2026-04-27,250,138,0.552,55.2,0.784,0.688,0.608,1.4054420503621083,1.6285052625733039,98.59455794963789,98.37149473742669,98.4830263435323,84.05535089568819,54.47834323476747,0.4860811798349649,0.05506048762701344
2026-04-28,250,151,0.604,60.4,0.74,0.796,0.668,1.9080811694927868,1.5096403192274312,98.09191883050721,98.49035968077257,98.29113925563989,85.66075950375992,59.48304088988065,0.4865687494919734,0.049516142002971025
2026-04-29,250,119,0.476,47.6,0.724,0.72,0.608,1.8199644276994764,1.8301902458595374,98.18003557230053,98.16980975414046,98.1749226632205,81.31661510881366,46.65638495250862,0.4860013907753441,0.048130720945439916
2026-04-30,250,155,0.62,62.0,0.88,0.836,0.784,1.0564781374458663,1.1632643894854129,98.94352186255414,98.8367356105146,98.89012873653436,86.59341915768957,61.38792846463105,0.47979423262905957,0.05453369429248316
2026-05-01,250,147,0.588,58.8,0.88,0.832,0.764,1.112046157356675,1.1805277158827858,98.88795384264333,98.81947228411723,98.85371306338027,85.50247537558684,58.17528039561533,0.48958055463961775,0.047323165820155465
2026-05-04,250,140,0.56,56.0,0.88,0.756,0.732,1.1698658376932862,1.5090193133939356,98.8301341623067,98.49098068660606,98.66055742445639,84.44037161630426,55.31054820595623,0.49171060110099535,0.04295751102428695
2026-05-05,250,98,0.392,39.2,0.684,0.592,0.516,1.9460294506792832,2.201404863758492,98.05397054932071,97.7985951362415,97.92628284278112,78.35085522852074,38.464406569087956,0.48610786387296956,0.04937167045803156
2026-05-06,250,129,0.516,51.6,0.768,0.748,0.672,1.7451233639188355,1.645076534489233,98.25487663608118,98.35492346551077,98.30490005079596,82.73660003386397,50.85914480204521,0.48824801367184073,0.04958567107748674
2026-05-07,250,142,0.568,56.8,0.856,0.792,0.736,1.3543200201884782,1.4329835024769109,98.64567997981152,98.56701649752308,98.6063482386673,84.67089882577821,56.0229315593019,0.4926418350898087,0.05523689928380918
