symbol,companyName,sector,industry,trading212_cfd_available,source
JCI,Johnson Controls,Industrials,Building Products,True,seeded_from_us_top250_pending_platform_verification
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,True,seeded_from_us_top250_pending_platform_verification
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,True,seeded_from_us_top250_pending_platform_verification
FTNT,Fortinet,Information Technology,Systems Software,True,seeded_from_us_top250_pending_platform_verification
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
PANW,Palo Alto Networks,Information Technology,Systems Software,True,seeded_from_us_top250_pending_platform_verification
ORCL,Oracle Corporation,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,True,seeded_from_us_top250_pending_platform_verification
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,True,seeded_from_us_top250_pending_platform_verification
CDNS,Cadence Design Systems,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
APP,AppLovin,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,True,seeded_from_us_top250_pending_platform_verification
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,True,seeded_from_us_top250_pending_platform_verification
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,True,seeded_from_us_top250_pending_platform_verification
FITB,Fifth Third Bancorp,Financials,Regional Banks,True,seeded_from_us_top250_pending_platform_verification
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,True,seeded_from_us_top250_pending_platform_verification
PLD,Prologis,Real Estate,Industrial REITs,True,seeded_from_us_top250_pending_platform_verification
UNH,UnitedHealth Group,Health Care,Managed Health Care,True,seeded_from_us_top250_pending_platform_verification
ETR,Entergy,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,True,seeded_from_us_top250_pending_platform_verification
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",True,seeded_from_us_top250_pending_platform_verification
WELL,Welltower,Real Estate,Health Care REITs,True,seeded_from_us_top250_pending_platform_verification
SPG,Simon Property Group,Real Estate,Retail REITs,True,seeded_from_us_top250_pending_platform_verification
PNC,PNC Financial Services,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
RTX,RTX Corporation,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,True,seeded_from_us_top250_pending_platform_verification
GE,GE Aerospace,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
CAH,Cardinal Health,Health Care,Health Care Distributors,True,seeded_from_us_top250_pending_platform_verification
USB,U.S. Bancorp,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,True,seeded_from_us_top250_pending_platform_verification
TFC,Truist Financial,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,True,seeded_from_us_top250_pending_platform_verification
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,True,seeded_from_us_top250_pending_platform_verification
AME,Ametek,Industrials,Electrical Components & Equipment,True,seeded_from_us_top250_pending_platform_verification
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,True,seeded_from_us_top250_pending_platform_verification
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,True,seeded_from_us_top250_pending_platform_verification
LHX,L3Harris,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
AEP,American Electric Power,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
NSC,Norfolk Southern,Industrials,Rail Transportation,True,seeded_from_us_top250_pending_platform_verification
GD,General Dynamics,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,True,seeded_from_us_top250_pending_platform_verification
MO,Altria,Consumer Staples,Tobacco,True,seeded_from_us_top250_pending_platform_verification
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,True,seeded_from_us_top250_pending_platform_verification
EQIX,Equinix,Real Estate,Data Center REITs,True,seeded_from_us_top250_pending_platform_verification
BAC,Bank of America,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
ABBV,AbbVie,Health Care,Biotechnology,True,seeded_from_us_top250_pending_platform_verification
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,True,seeded_from_us_top250_pending_platform_verification
AMZN,Amazon,Consumer Discretionary,Broadline Retail,True,seeded_from_us_top250_pending_platform_verification
NEE,NextEra Energy,Utilities,Multi-Utilities,True,seeded_from_us_top250_pending_platform_verification
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,True,seeded_from_us_top250_pending_platform_verification
AMGN,Amgen,Health Care,Biotechnology,True,seeded_from_us_top250_pending_platform_verification
D,Dominion Energy,Utilities,Multi-Utilities,True,seeded_from_us_top250_pending_platform_verification
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,True,seeded_from_us_top250_pending_platform_verification
UNP,Union Pacific Corporation,Industrials,Rail Transportation,True,seeded_from_us_top250_pending_platform_verification
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,True,seeded_from_us_top250_pending_platform_verification
GILD,Gilead Sciences,Health Care,Biotechnology,True,seeded_from_us_top250_pending_platform_verification
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,True,seeded_from_us_top250_pending_platform_verification
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,True,seeded_from_us_top250_pending_platform_verification
UPS,United Parcel Service,Industrials,Air Freight & Logistics,True,seeded_from_us_top250_pending_platform_verification
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,True,seeded_from_us_top250_pending_platform_verification
SRE,Sempra,Utilities,Multi-Utilities,True,seeded_from_us_top250_pending_platform_verification
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,True,seeded_from_us_top250_pending_platform_verification
JPM,JPMorgan Chase,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,True,seeded_from_us_top250_pending_platform_verification
CRH,CRH plc,Materials,Construction Materials,True,seeded_from_us_top250_pending_platform_verification
PFE,Pfizer,Health Care,Pharmaceuticals,True,seeded_from_us_top250_pending_platform_verification
FAST,Fastenal,Industrials,Trading Companies & Distributors,True,seeded_from_us_top250_pending_platform_verification
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,True,seeded_from_us_top250_pending_platform_verification
IBM,IBM,Information Technology,IT Consulting & Other Services,True,seeded_from_us_top250_pending_platform_verification
XEL,Xcel Energy,Utilities,Multi-Utilities,True,seeded_from_us_top250_pending_platform_verification
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,True,seeded_from_us_top250_pending_platform_verification
BDX,Becton Dickinson,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
NOC,Northrop Grumman,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
AFL,Aflac,Financials,Life & Health Insurance,True,seeded_from_us_top250_pending_platform_verification
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,True,seeded_from_us_top250_pending_platform_verification
O,Realty Income,Real Estate,Retail REITs,True,seeded_from_us_top250_pending_platform_verification
EW,Edwards Lifesciences,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",True,seeded_from_us_top250_pending_platform_verification
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,True,seeded_from_us_top250_pending_platform_verification
DLR,Digital Realty,Real Estate,Data Center REITs,True,seeded_from_us_top250_pending_platform_verification
SBUX,Starbucks,Consumer Discretionary,Restaurants,True,seeded_from_us_top250_pending_platform_verification
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,True,seeded_from_us_top250_pending_platform_verification
LMT,Lockheed Martin,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
ELV,Elevance Health,Health Care,Managed Health Care,True,seeded_from_us_top250_pending_platform_verification
WFC,Wells Fargo,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,True,seeded_from_us_top250_pending_platform_verification
LIN,Linde plc,Materials,Industrial Gases,True,seeded_from_us_top250_pending_platform_verification
VZ,Verizon,Communication Services,Integrated Telecommunication Services,True,seeded_from_us_top250_pending_platform_verification
MET,MetLife,Financials,Life & Health Insurance,True,seeded_from_us_top250_pending_platform_verification
DUK,Duke Energy,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,True,seeded_from_us_top250_pending_platform_verification
TT,Trane Technologies,Industrials,Building Products,True,seeded_from_us_top250_pending_platform_verification
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
CB,Chubb Limited,Financials,Property & Casualty Insurance,True,seeded_from_us_top250_pending_platform_verification
PLTR,Palantir Technologies,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
EXC,Exelon,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
MCK,McKesson Corporation,Health Care,Health Care Distributors,True,seeded_from_us_top250_pending_platform_verification
BLK,BlackRock,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
AXP,American Express,Financials,Consumer Finance,True,seeded_from_us_top250_pending_platform_verification
SNPS,Synopsys,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
SO,Southern Company,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
PSA,Public Storage,Real Estate,Self-Storage REITs,True,seeded_from_us_top250_pending_platform_verification
MMM,3M,Industrials,Industrial Conglomerates,True,seeded_from_us_top250_pending_platform_verification
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,True,seeded_from_us_top250_pending_platform_verification
YUM,Yum! Brands,Consumer Discretionary,Restaurants,True,seeded_from_us_top250_pending_platform_verification
HON,Honeywell,Industrials,Industrial Conglomerates,True,seeded_from_us_top250_pending_platform_verification
APD,Air Products,Materials,Industrial Gases,True,seeded_from_us_top250_pending_platform_verification
ALL,Allstate,Financials,Property & Casualty Insurance,True,seeded_from_us_top250_pending_platform_verification
BA,Boeing,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,True,seeded_from_us_top250_pending_platform_verification
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",True,seeded_from_us_top250_pending_platform_verification
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
PM,Philip Morris International,Consumer Staples,Tobacco,True,seeded_from_us_top250_pending_platform_verification
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,True,seeded_from_us_top250_pending_platform_verification
MDT,Medtronic,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
MSI,Motorola Solutions,Information Technology,Communications Equipment,True,seeded_from_us_top250_pending_platform_verification
CARR,Carrier Global,Industrials,Building Products,True,seeded_from_us_top250_pending_platform_verification
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,True,seeded_from_us_top250_pending_platform_verification
CVNA,Carvana,Consumer Discretionary,Automotive Retail,True,seeded_from_us_top250_pending_platform_verification
ECL,Ecolab,Materials,Specialty Chemicals,True,seeded_from_us_top250_pending_platform_verification
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,True,seeded_from_us_top250_pending_platform_verification
CL,Colgate-Palmolive,Consumer Staples,Household Products,True,seeded_from_us_top250_pending_platform_verification
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,True,seeded_from_us_top250_pending_platform_verification
HCA,HCA Healthcare,Health Care,Health Care Facilities,True,seeded_from_us_top250_pending_platform_verification
COF,Capital One,Financials,Consumer Finance,True,seeded_from_us_top250_pending_platform_verification
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,True,seeded_from_us_top250_pending_platform_verification
META,Meta Platforms,Communication Services,Interactive Media & Services,True,seeded_from_us_top250_pending_platform_verification
AMT,American Tower,Real Estate,Telecom Tower REITs,True,seeded_from_us_top250_pending_platform_verification
CME,CME Group,Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,True,seeded_from_us_top250_pending_platform_verification
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
COR,Cencora,Health Care,Health Care Distributors,True,seeded_from_us_top250_pending_platform_verification
MSFT,Microsoft,Information Technology,Systems Software,True,seeded_from_us_top250_pending_platform_verification
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,True,seeded_from_us_top250_pending_platform_verification
WM,Waste Management,Industrials,Environmental & Facilities Services,True,seeded_from_us_top250_pending_platform_verification
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,True,seeded_from_us_top250_pending_platform_verification
CI,Cigna,Health Care,Health Care Services,True,seeded_from_us_top250_pending_platform_verification
TDG,TransDigm Group,Industrials,Aerospace & Defense,True,seeded_from_us_top250_pending_platform_verification
MCD,McDonald's,Consumer Discretionary,Restaurants,True,seeded_from_us_top250_pending_platform_verification
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,True,seeded_from_us_top250_pending_platform_verification
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
V,Visa Inc.,Financials,Transaction & Payment Processing Services,True,seeded_from_us_top250_pending_platform_verification
VST,Vistra Corp.,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
UBER,Uber,Industrials,Passenger Ground Transportation,True,seeded_from_us_top250_pending_platform_verification
PG,Procter & Gamble,Consumer Staples,Personal Care Products,True,seeded_from_us_top250_pending_platform_verification
AON,Aon plc,Financials,Insurance Brokers,True,seeded_from_us_top250_pending_platform_verification
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,True,seeded_from_us_top250_pending_platform_verification
T,AT&T,Communication Services,Integrated Telecommunication Services,True,seeded_from_us_top250_pending_platform_verification
CEG,Constellation Energy,Utilities,Electric Utilities,True,seeded_from_us_top250_pending_platform_verification
SHW,Sherwin-Williams,Materials,Specialty Chemicals,True,seeded_from_us_top250_pending_platform_verification
MA,Mastercard,Financials,Transaction & Payment Processing Services,True,seeded_from_us_top250_pending_platform_verification
SPGI,S&P Global,Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
AZO,AutoZone,Consumer Discretionary,Automotive Retail,True,seeded_from_us_top250_pending_platform_verification
RSG,Republic Services,Industrials,Environmental & Facilities Services,True,seeded_from_us_top250_pending_platform_verification
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,True,seeded_from_us_top250_pending_platform_verification
CTAS,Cintas,Industrials,Diversified Support Services,True,seeded_from_us_top250_pending_platform_verification
SYK,Stryker Corporation,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
ADSK,Autodesk,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",True,seeded_from_us_top250_pending_platform_verification
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
CMCSA,Comcast,Communication Services,Cable & Satellite,True,seeded_from_us_top250_pending_platform_verification
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,True,seeded_from_us_top250_pending_platform_verification
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,True,seeded_from_us_top250_pending_platform_verification
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,True,seeded_from_us_top250_pending_platform_verification
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,True,seeded_from_us_top250_pending_platform_verification
CRM,Salesforce,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",True,seeded_from_us_top250_pending_platform_verification
MRSH,Marsh McLennan,Financials,Insurance Brokers,True,seeded_from_us_top250_pending_platform_verification
ABT,Abbott Laboratories,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
NFLX,Netflix,Communication Services,Movies & Entertainment,True,seeded_from_us_top250_pending_platform_verification
ADBE,Adobe Inc.,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,True,seeded_from_us_top250_pending_platform_verification
NOW,ServiceNow,Information Technology,Systems Software,True,seeded_from_us_top250_pending_platform_verification
ACN,Accenture,Information Technology,IT Consulting & Other Services,True,seeded_from_us_top250_pending_platform_verification
BSX,Boston Scientific,Health Care,Health Care Equipment,True,seeded_from_us_top250_pending_platform_verification
INTU,Intuit,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
