rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
90,SPG,Simon Property Group,US,Real Estate,Retail REITs,68201410601.0,2026-06-05,210.31,1.98,2.64,2.34,9.19,18.13,36.6,15.64,210.31,0.0,288
91,TGT,Target Corporation,US,Consumer Staples,Consumer Staples Merchandise Retail,55670204459.0,2026-06-05,122.57,-1.03,-3.54,-4.96,2.43,37.47,36.19,24.35,130.8636,-6.34,288
92,CAH,Cardinal Health,US,Health Care,Health Care Distributors,48178488004.0,2026-06-05,205.71,1.97,4.53,7.43,-5.31,3.51,35.02,0.24,229.3241,-10.3,288
93,PNC,PNC Financial Services,US,Financials,Diversified Banks,91705313049.0,2026-06-05,228.37,0.57,3.28,2.68,11.65,17.12,34.99,9.66,240.6315,-5.1,288
94,PH,Parker Hannifin,US,Industrials,Industrial Machinery & Supplies & Components,111251067856.0,2026-06-05,882.34,1.16,4.46,-2.03,-4.26,1.93,33.81,-0.89,1020.7129,-13.56,288
95,APP,AppLovin,US,Information Technology,Application Software,187185505202.0,2026-06-05,557.2,-0.3,-9.12,18.85,10.97,-15.86,33.78,-9.88,733.6,-24.05,288
96,RTX,RTX Corporation,US,Industrials,Aerospace & Defense,243736241031.0,2026-06-05,180.99,0.88,0.74,2.83,-13.36,8.25,32.71,-2.62,211.2799,-14.34,288
97,TEL,TE Connectivity,US,Information Technology,Electronic Manufacturing Services,62071639876.0,2026-06-05,212.65,-3.67,-0.36,-1.25,3.7,-7.22,32.59,-8.19,247.2834,-14.01,288
98,USB,U.S. Bancorp,US,Financials,Diversified Banks,86382494008.0,2026-06-05,55.69,0.41,1.53,-0.84,7.44,11.54,32.24,4.33,60.0697,-7.29,288
99,REGN,Regeneron Pharmaceuticals,US,Health Care,Biotechnology,66619964164.0,2026-06-05,635.45,1.07,3.36,-11.74,-16.25,-11.95,31.76,-17.92,810.0842,-21.56,288
100,GE,GE Aerospace,US,Industrials,Aerospace & Defense,342704109784.0,2026-06-05,328.0,0.11,1.31,7.25,1.66,13.99,31.43,2.41,345.2371,-4.99,288
